year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,logystar2,logxstar2,logcstar2,TobinQ
1971,14.170668,28.61261,16.190231,.17166667,16.865833,2.2580433,.86791569,3.239037,.60617232,33.334805,14.93549,2.5765207,3.0141158,-99.989998,2.0191433,-99.989998,4.5746355,7.9333363,-99.989998,-99.989998,-99.989998,13.999001,-99.989998,-99.989998,-99.989998,-99.989998,2.3711214,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.594334,-99.989998,-99.989998,-99.989998,-99
1972,14.231391,28.85331,17.121414,1.8933333,17.768333,2.7497401,3.4441109,5.1261029,.43237847,37.041138,15.346313,3.0432208,1.3902905,-99.989998,2.0274413,-99.989998,4.5309067,8.3792849,-99.989998,-99.989998,-99.989998,12.338058,-99.989998,-99.989998,-99.989998,-99.989998,1.6819921,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.988674,-99.989998,-99.989998,-99.989998,-99
1973,13.87496,28.680496,17.609093,3.8199999,16.147499,2.0408931,3.4888732,5.4916468,-.50060213,32.448776,14.6085,2.6739297,1.252128,-99.989998,2.0670688,-99.989998,4.4630737,8.4679613,-99.989998,-99.989998,-99.989998,10.05496,-99.989998,-99.989998,-99.989998,-99.989998,2.0027735,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.819862,-99.989998,-99.989998,-99.989998,-99
1974,12.385594,27.796249,16.85866,-.026666667,10.925834,2.0349391,2.0381386,-.54127091,-1.0730288,22.095922,12.231564,-3.8013442,-1.136433,-99.989998,2.2442403,-99.989998,4.4149027,7.4744797,-99.989998,-99.989998,-99.989998,12.412261,-99.989998,-99.989998,-99.989998,-99.989998,-2.5794096,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.821712,-99.989998,-99.989998,-99.989998,-99
1975,13.373233,30.046715,15.63891,-2.5333333,10.235833,1.999251,-1.1264875,-.2070559,3.5471382,23.793646,11.917471,.6677655,3.2176731,-99.989998,2.2467802,-99.989998,4.7231612,6.9262466,-99.989998,-99.989998,-99.989998,15.906567,-99.989998,-99.989998,-99.989998,-99.989998,.91943157,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.042313,-99.989998,-99.989998,-99.989998,-99
1976,13.722391,30.532944,16.339275,-.6925,11.545,1.9378114,3.3480089,5.248837,.27915093,25.117519,12.513412,3.3144598,.11992805,-99.989998,2.2250454,-99.989998,4.7140388,7.2953653,-99.989998,-99.989998,-99.989998,14.414891,-99.989998,-99.989998,-99.989998,-99.989998,1.9008281,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,56.838219,-99.989998,-99.989998,-99.989998,-99
1977,13.50749,30.725029,17.979633,-.17,10.433333,1.8300486,3.6124463,4.5205717,.76310319,21.448099,12.007375,1.9410393,1.607018,-99.989998,2.2746661,-99.989998,4.6690884,7.8451662,-99.989998,-99.989998,-99.989998,13.67749,-99.989998,-99.989998,-99.989998,-99.989998,.9081254,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.860386,-99.989998,-99.989998,-99.989998,-99
1978,13.213606,30.411072,19.246471,1.04,9.3783331,1.7931957,4.2852921,5.3871865,1.0860515,19.656214,11.527132,1.3311014,.48880342,-99.989998,2.3014967,-99.989998,4.6579947,8.2923765,-99.989998,-99.989998,-99.989998,12.173606,-99.989998,-99.989998,-99.989998,-99.989998,1.1018944,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.320438,-99.989998,-99.989998,-99.989998,-99
1979,12.279102,29.275795,19.856888,.94833332,8.9266663,1.8078667,2.852416,3.1174781,-.26190063,19.318899,11.32153,-.84354788,-.050012503,-99.989998,2.3841968,-99.989998,4.6408048,8.2758617,-99.989998,-99.989998,-99.989998,11.330769,-99.989998,-99.989998,-99.989998,-99.989998,.26506209,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.943317,-99.989998,-99.989998,-99.989998,-99
1980,11.476599,28.587265,18.772968,-.38499999,8.8316669,1.7324523,.4826,-.25709614,-1.6077547,20.798786,11.278286,-2.0917249,.47885168,-99.989998,2.4909179,-99.989998,4.706841,7.4733396,-99.989998,-99.989998,-99.989998,11.861599,-99.989998,-99.989998,-99.989998,-99.989998,-.73969615,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.198776,-99.989998,-99.989998,-99.989998,-99
